Sequence name,Lineage,Conflict,Ambiguity score,Scorpio call,Scorpio support,Scorpio conflict,Note,pangolin version,pangolin-data version
hCoV-19/Reunion/PIMIT_13938/2021|EPI_ISL_3154313|2021-06-25,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_11592/2021|EPI_ISL_3154335|2021-05-27,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_12453/2021|EPI_ISL_3153808|2021-06-03,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_13463/2021|EPI_ISL_3153848|2021-06-15,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_13551/2021|EPI_ISL_3153850|2021-06-17,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_13689/2021|EPI_ISL_3153852|2021-06-18,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_14219/2021|EPI_ISL_3153853|2021-06-28,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_14386/2021|EPI_ISL_3153856|2021-06-23,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(3/3),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_14309/2021|EPI_ISL_3153855|2021-06-25,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_11769/2021|EPI_ISL_3153839|2021-06-05,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(2/2),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_11881/2021|EPI_ISL_3153841|2021-06-02,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_11778/2021|EPI_ISL_3153840|2021-06-04,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(2/2),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_12244/2021|EPI_ISL_3153842|2021-06-02,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(2/2),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_12921/2021|EPI_ISL_3153845|2021-06-15,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_12765/2021|EPI_ISL_3153844|2021-06-10,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_14597/2021|EPI_ISL_3153858|2021-07-01,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(3/3),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_14411/2021|EPI_ISL_3153857|2021-06-24,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_14847/2021|EPI_ISL_3153859|2021-06-28,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_14947/2021|EPI_ISL_3153861|2021-07-02,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(3/3),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_14851/2021|EPI_ISL_3153860|2021-06-28,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_15263/2021|EPI_ISL_3153862|2021-07-09,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_15379/2021|EPI_ISL_3153865|2021-07-08,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_15329/2021|EPI_ISL_3153864|2021-07-07,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_15487/2021|EPI_ISL_3153866|2021-07-11,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-APHP-HEGP-16-41-2131864641/2021|EPI_ISL_2629063|2021-04-05,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(3/3),4.1.3,v1.16
hCoV-19/France/HDF-IPP15996/2021|EPI_ISL_3153383|2021-07-13,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_11490/2021|EPI_ISL_3154046|2021-05-28,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_11476/2021|EPI_ISL_3154045|2021-05-28,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_11517/2021|EPI_ISL_3154047|2021-05-28,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_11603/2021|EPI_ISL_3154049|2021-05-27,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_13052/2021|EPI_ISL_3154031|2021-06-09,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_14957/2021|EPI_ISL_3154033|2021-07-02,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_13976/2021|EPI_ISL_3154064|2021-06-24,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_14052/2021|EPI_ISL_3154065|2021-06-23,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_12301/2021|EPI_ISL_3154053|2021-06-03,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_15309/2021|EPI_ISL_3154081|2021-07-09,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_15650/2021|EPI_ISL_3154084|2021-07-09,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_15494/2021|EPI_ISL_3154083|2021-07-11,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_15681/2021|EPI_ISL_3154085|2021-07-10,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_16140/2021|EPI_ISL_3154087|2021-07-17,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_14959/2021|EPI_ISL_3154075|2021-07-02,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_14982/2021|EPI_ISL_3154077|2021-07-03,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_15226/2021|EPI_ISL_3154079|2021-07-08,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Reunion/PIMIT_15016/2021|EPI_ISL_3154078|2021-07-01,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/France/CVL-IPP18015/2021|EPI_ISL_3154733|2021-07-09,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Turkey/GIHSN-Ankara-14011_1104/2021|EPI_ISL_3162297|2021-05-08,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Malaysia/MGI_HPUPM-ML3712K/2021|EPI_ISL_3162220|2021-04-30,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Philippines/PH-PGC-45438/2021|EPI_ISL_2859317|2021-04-26,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(2/2),4.1.3,v1.16
hCoV-19/Belgium/AZSL_2104-18722/2021|EPI_ISL_2462866|2021-04-14,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Belgium/AZSL_2105-28552/2021|EPI_ISL_2462870|2021-05-23,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Costa_Rica/INC-0829/2021|EPI_ISL_3298317|2021-07-08,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(2/2),4.1.3,v1.16
hCoV-19/Malaysia/IMR_CV00972/2021|EPI_ISL_3333593|2021-07-07,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP11734/2021|EPI_ISL_2279607|2021-03-15,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/HDF-P07-21293M1133/2021|EPI_ISL_3403416|2021-07-20,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Malaysia/IMR_WC276024/2021|EPI_ISL_2685359|2021-05-18,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Malaysia/IMR_36051/2021|EPI_ISL_2811886|2021-05-06,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Malaysia/IMR_015252/2021|EPI_ISL_3100124|2021-06-14,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/PDL-IPP19564/2021|EPI_ISL_3506739|2021-07-27,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Mexico/TAB_LANGEBIO_IMSS_0627/2021|EPI_ISL_2402044|2021-04-21,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(2/2),4.1.3,v1.16
hCoV-19/Hong_Kong/CH21051920/2021|EPI_ISL_2484791|2021-04-22,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Hong_Kong/VM21020587/2021|EPI_ISL_2484788|2021-04-15,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Hong_Kong/CM21000166/2021|EPI_ISL_2484762|2021-02-26,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(2/2),4.1.3,v1.16
hCoV-19/Hong_Kong/VM21013308/2021|EPI_ISL_2484763|2021-03-04,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(2/2),4.1.3,v1.16
hCoV-19/Hong_Kong/VM21018803/2021|EPI_ISL_2484778|2021-04-05,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(2/2),4.1.3,v1.16
hCoV-19/Hong_Kong/VM21018999/2021|EPI_ISL_2484781|2021-04-07,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(2/2),4.1.3,v1.16
hCoV-19/Botswana/R17B6_BHP_AAB51177/2021|EPI_ISL_2504072|2021-05-31,B.1.351,0.0,,Beta (B.1.351-like),0.79,0.07,Usher placements: B.1.351(4/4),4.1.3,v1.16
hCoV-19/Botswana/R17B31_BHP_000470659/2021|EPI_ISL_2509334|2021-05-31,B.1.351,0.0,,Beta (B.1.351-like),0.79,0.07,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Canada/NB-NML-43554/2021|EPI_ISL_2550591|2021-04-14,B.1.351.3,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.3(1/1),4.1.3,v1.16
hCoV-19/Botswana/R18B54_BHP_AAB65804/2021|EPI_ISL_2648239|2021-06-01,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(2/2),4.1.3,v1.16
hCoV-19/Reunion/CHU_7210531703/2021|EPI_ISL_2651270|2021-05-29,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Malaysia/IMR_025974/2021|EPI_ISL_2683247|2021-05-09,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/PDL-CHUN-0044/2021|EPI_ISL_2193958|2021-04-02,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/France/IDF-HMN-21052080062/2021|EPI_ISL_2228669|2021-05-08,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(3/3),4.1.3,v1.16
hCoV-19/France/IDF-HMN-21052070331/2021|EPI_ISL_2228657|2021-05-07,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(3/3),4.1.3,v1.16
hCoV-19/France/BRE_8600583500/2021|EPI_ISL_2225602|2021-04-24,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/BRE_8600065742/2021|EPI_ISL_2225607|2021-04-08,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/France/BRE_8600583884/2021|EPI_ISL_2225605|2021-04-25,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/BRE_8600583501/2021|EPI_ISL_2225603|2021-04-24,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/BRE_8600583504/2021|EPI_ISL_2225604|2021-04-24,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-HMN-21052080161/2021|EPI_ISL_2228728|2021-05-08,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/NAQ-Poitiers_9900220054/2021|EPI_ISL_2226269|2021-03-26,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/NAQ-Poitiers_9900215740/2021|EPI_ISL_2226266|2021-03-24,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/France/NAQ-Poitiers_9900214271/2021|EPI_ISL_2226274|2021-03-23,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/France/NAQ-Poitiers_9900217327/2021|EPI_ISL_2226270|2021-03-25,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/France/NAQ-Poitiers_9900217333/2021|EPI_ISL_2226278|2021-03-25,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/France/NAQ-Poitiers_2103_260816/2021|EPI_ISL_2226298|2021-03-26,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/France/NAQ-Poitiers_9900251238/2021|EPI_ISL_2226367|2021-04-24,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/NAQ-Poitiers_2104_171315/2021|EPI_ISL_2226344|2021-04-17,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/NAQ-Poitiers_9900246613/2021|EPI_ISL_2226352|2021-04-20,B.1.351.2,0.0,,Beta (B.1.351-like),0.79,0.14,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/France/NAQ-Poitiers_9900245767/2021|EPI_ISL_2226356|2021-04-19,B.1.351.2,0.0,,Beta (B.1.351-like),0.79,0.14,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/France/NAQ-Poitiers_2104_062693/2021|EPI_ISL_2226323|2021-04-07,B.1.351.2,0.0,,Beta (B.1.351-like),0.71,0.14,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/France/NAQ-Poitiers_2103_163969/2021|EPI_ISL_2226305|2021-03-16,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/France/NAQ-Poitiers_2104_073282/2021|EPI_ISL_2226307|2021-04-07,B.1.351.2,0.0,,Beta (B.1.351-like),0.71,0.14,Usher placements: B.1.351.2(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM8716/2021|EPI_ISL_2232865|2021-04-13,B.1.351,0.0,,,,,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM8728/2021|EPI_ISL_2232876|2021-04-05,B.1.351.3,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.3(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM8705/2021|EPI_ISL_2232856|2021-04-24,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM8788/2021|EPI_ISL_2232916|2021-04-08,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Mexico/NLE-InDRE_FB14853_S2035/2021|EPI_ISL_2246839|2021-05-06,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP11691/2021|EPI_ISL_2259090|2021-05-03,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/India/PY-Seq_986_S71_R1_001/2021|EPI_ISL_2272925|2021-04-23,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.07,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP11782/2021|EPI_ISL_2279642|2021-04-22,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP11780/2021|EPI_ISL_2279641|2021-04-19,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP11811/2021|EPI_ISL_2279666|2021-04-28,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(3/3),4.1.3,v1.16
hCoV-19/France/IDF-IPP11824/2021|EPI_ISL_2279679|2021-04-28,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP11822/2021|EPI_ISL_2279677|2021-04-28,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP11826/2021|EPI_ISL_2279681|2021-04-28,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(3/3),4.1.3,v1.16
hCoV-19/France/IDF-IPP11832/2021|EPI_ISL_2279686|2021-04-28,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Ghana/WACCBIP-TRA665/2021|EPI_ISL_2285846|2021-04-08,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Ghana/WACCBIP-TRA664/2021|EPI_ISL_2285845|2021-04-08,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/Ghana/WACCBIP-TRA737/2021|EPI_ISL_2285866|2021-04-21,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(3/3),4.1.3,v1.16
hCoV-19/Spain/GA-CHUVI-19298619/2021|EPI_ISL_2285129|2021-05-01,B.1.351.3,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.3(1/1),4.1.3,v1.16
hCoV-19/France/BRE-IPP12054/2021|EPI_ISL_2293300|2021-04-28,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP12093/2021|EPI_ISL_2293325|2021-05-08,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP12069/2021|EPI_ISL_2293310|2021-04-28,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP12070/2021|EPI_ISL_2293311|2021-05-04,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(3/3),4.1.3,v1.16
hCoV-19/France/IDF-IPP12071/2021|EPI_ISL_2293312|2021-04-21,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/GES-IPP12239/2021|EPI_ISL_2293464|2021-05-10,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP12242/2021|EPI_ISL_2293466|2021-05-12,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/HDF-IPP12235/2021|EPI_ISL_2293460|2021-05-11,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(3/3),4.1.3,v1.16
hCoV-19/France/HDF-IPP12217/2021|EPI_ISL_2293452|2021-05-11,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(3/3),4.1.3,v1.16
hCoV-19/France/HDF-IPP12218/2021|EPI_ISL_2293453|2021-05-11,B.1.351.2,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351.2(3/3),4.1.3,v1.16
hCoV-19/France/CVL-IPP12350/2021|EPI_ISL_2293557|2021-05-11,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP12300/2021|EPI_ISL_2293518|2021-05-11,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
hCoV-19/France/IDF-IPP12292/2021|EPI_ISL_2293510|2021-05-11,B.1.351,0.0,,Beta (B.1.351-like),0.86,0.0,Usher placements: B.1.351(1/1),4.1.3,v1.16
