Sequence name,Lineage,Conflict,Ambiguity score,Scorpio call,Scorpio support,Scorpio conflict,Note,pangolin version,pangolin-data version
hCoV-19/Austria/CeMM4561/2021|EPI_ISL_11230272|2021-02-22,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(6/6),4.1.3,v1.16
hCoV-19/Austria/CeMM6943/2021|EPI_ISL_11230292|2021-03-30,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6869/2021|EPI_ISL_11229215|2021-03-25,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6857/2021|EPI_ISL_11229214|2021-03-25,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6893/2021|EPI_ISL_11229217|2021-03-25,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6917/2021|EPI_ISL_11229219|2021-03-25,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6905/2021|EPI_ISL_11229218|2021-03-25,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6731/2021|EPI_ISL_11229224|2021-03-15,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6941/2021|EPI_ISL_11229223|2021-03-25,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.87,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6529/2021|EPI_ISL_11229228|2021-03-23,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6530/2021|EPI_ISL_11229229|2021-03-23,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6928/2021|EPI_ISL_11229220|2021-03-26,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6940/2021|EPI_ISL_11229222|2021-03-25,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6929/2021|EPI_ISL_11229221|2021-03-25,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.87,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6729/2021|EPI_ISL_11229234|2021-03-22,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6733/2021|EPI_ISL_11229231|2021-03-17,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6742/2021|EPI_ISL_11229230|2021-03-29,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6732/2021|EPI_ISL_11229233|2021-03-23,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.04,Usher placements: B.1.1.7(2/2),4.1.3,v1.16
hCoV-19/Austria/CeMM6735/2021|EPI_ISL_11229232|2021-03-23,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4550/2021|EPI_ISL_11230264|2021-02-16,B.1.1,0.0,,,,,Usher placements: B.1.1(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4732/2021|EPI_ISL_11229273|2021-02-24,B.1.1.7,0.5,,,,,Usher placements: B.1.1(1/2) B.1.1.7(1/2),4.1.3,v1.16
hCoV-19/Austria/CeMM6532/2021|EPI_ISL_11229276|2021-03-23,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6868/2021|EPI_ISL_11229301|2021-03-29,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6351/2021|EPI_ISL_11229300|2021-03-15,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6892/2021|EPI_ISL_11229303|2021-03-29,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6916/2021|EPI_ISL_11229305|2021-03-29,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(4/4),4.1.3,v1.16
hCoV-19/Austria/CeMM6904/2021|EPI_ISL_11229304|2021-03-29,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6927/2021|EPI_ISL_11229306|2021-03-29,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6271/2021|EPI_ISL_11229897|2021-03-13,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(6/6),4.1.3,v1.16
hCoV-19/Austria/CeMM6283/2021|EPI_ISL_11229898|2021-03-13,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4663/2021|EPI_ISL_11230034|2021-02-17,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4668/2021|EPI_ISL_11230039|2021-02-17,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4667/2021|EPI_ISL_11230038|2021-02-17,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4669/2021|EPI_ISL_11230040|2021-02-17,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4672/2021|EPI_ISL_11230043|2021-02-17,B.1.1,0.0,,,,,Usher placements: B.1.1(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4670/2021|EPI_ISL_11230041|2021-02-17,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4655/2021|EPI_ISL_11230026|2021-02-11,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4654/2021|EPI_ISL_11230025|2021-02-11,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.87,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4698/2021|EPI_ISL_11230023|2021-02-10,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.87,0.04,Usher placements: B.1.1.7(4/4),4.1.3,v1.16
hCoV-19/Austria/CeMM4658/2021|EPI_ISL_11230029|2021-02-11,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4657/2021|EPI_ISL_11230028|2021-02-11,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4656/2021|EPI_ISL_11230027|2021-02-11,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4662/2021|EPI_ISL_11230033|2021-02-17,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(6/6),4.1.3,v1.16
hCoV-19/Austria/CeMM4660/2021|EPI_ISL_11230031|2021-02-11,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4659/2021|EPI_ISL_11230030|2021-02-11,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4677/2021|EPI_ISL_11230048|2021-02-12,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4676/2021|EPI_ISL_11230047|2021-02-12,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4675/2021|EPI_ISL_11230046|2021-02-12,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4674/2021|EPI_ISL_11230045|2021-02-12,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4680/2021|EPI_ISL_11230050|2021-02-12,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4577/2021|EPI_ISL_11229083|2021-02-22,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM3007/2021|EPI_ISL_11229082|2021-01-05,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Assigned from designation hash.,4.1.3,v1.16
hCoV-19/Austria/CeMM3006/2021|EPI_ISL_11229081|2021-01-05,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Assigned from designation hash.,4.1.3,v1.16
hCoV-19/Austria/CeMM4639/2021|EPI_ISL_11229098|2021-02-22,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(5/5),4.1.3,v1.16
hCoV-19/Austria/CeMM4603/2021|EPI_ISL_11229090|2021-02-22,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(2/2),4.1.3,v1.16
hCoV-19/Austria/CeMM4707/2021|EPI_ISL_11230000|2021-02-18,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4722/2021|EPI_ISL_11230015|2021-02-18,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4721/2021|EPI_ISL_11230014|2021-02-18,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4720/2021|EPI_ISL_11230013|2021-02-18,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4719/2021|EPI_ISL_11230012|2021-02-18,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4710/2021|EPI_ISL_11230003|2021-02-18,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4709/2021|EPI_ISL_11230002|2021-02-18,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Assigned from designation hash.,4.1.3,v1.16
hCoV-19/Austria/CeMM4708/2021|EPI_ISL_11230001|2021-02-18,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Assigned from designation hash.,4.1.3,v1.16
hCoV-19/Austria/CeMM4715/2021|EPI_ISL_11230008|2021-02-18,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.09,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4716/2021|EPI_ISL_11230009|2021-02-18,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4717/2021|EPI_ISL_11230010|2021-02-18,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.09,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6751/2021|EPI_ISL_11229996|2021-03-12,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4705/2021|EPI_ISL_11229998|2021-02-18,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4706/2021|EPI_ISL_11229999|2021-02-18,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(6/6),4.1.3,v1.16
hCoV-19/Austria/CeMM6342/2021|EPI_ISL_11229902|2021-03-13,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(6/6),4.1.3,v1.16
hCoV-19/Japan/HiroFH76/2021|EPI_ISL_9046427|2021-06-28,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM2992/2021|EPI_ISL_11229601|2021-01-04,B.1.1.7,0.5,,,,,Usher placements: B.1.1(1/2) B.1.1.7(1/2),4.1.3,v1.16
hCoV-19/Austria/CeMM3009/2021|EPI_ISL_11229607|2021-01-05,B.1.1,0.0,,,,,Usher placements: B.1.1(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM3041/2021|EPI_ISL_11229633|2021-01-06,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Assigned from designation hash.,4.1.3,v1.16
hCoV-19/Austria/CeMM3040/2021|EPI_ISL_11229632|2021-01-06,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Assigned from designation hash.,4.1.3,v1.16
hCoV-19/Austria/CeMM3044/2021|EPI_ISL_11229635|2021-01-06,B.1.1,0.0,,,,,Usher placements: B.1.1(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM3043/2021|EPI_ISL_11229634|2021-01-06,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Assigned from designation hash.,4.1.3,v1.16
hCoV-19/Austria/CeMM6686/2021|EPI_ISL_11229675|2021-03-19,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6687/2021|EPI_ISL_11229676|2021-03-18,B.1.1.7,0.3333333333333333,,,,,Usher placements: B.1.1(1/3) B.1.1.7(2/3),4.1.3,v1.16
hCoV-19/Austria/CeMM6682/2021|EPI_ISL_11229671|2021-03-19,B.1.1,0.0,,,,,Usher placements: B.1.1(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6681/2021|EPI_ISL_11229670|2021-03-24,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM7358/2021|EPI_ISL_11229689|2021-03-10,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(5/5),4.1.3,v1.16
hCoV-19/Austria/CeMM7339/2021|EPI_ISL_11229680|2021-03-08,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM7357/2021|EPI_ISL_11229690|2021-03-09,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.91,0.09,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM7342/2021|EPI_ISL_11229692|2021-03-08,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4814/2021|EPI_ISL_11229721|2021-02-16,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4813/2021|EPI_ISL_11229720|2021-02-09,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4815/2020|EPI_ISL_11229722|2020-12-17,B.1.1.7,0.5,,,,,Usher placements: B.1.1(1/2) B.1.1.7(1/2),4.1.3,v1.16
hCoV-19/Austria/CeMM4821/2020|EPI_ISL_11229725|2020-11-28,B.1.1.7,0.5,,,,,Usher placements: B.1.1(1/2) B.1.1.7(1/2),4.1.3,v1.16
hCoV-19/Austria/CeMM4817/2021|EPI_ISL_11229724|2021-02-16,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM4793/2020|EPI_ISL_11229718|2020-12-18,B.1.1.7,0.5,,,,,Usher placements: B.1.1(1/2) B.1.1.7(1/2),4.1.3,v1.16
hCoV-19/Austria/CeMM6479/2021|EPI_ISL_11229747|2021-03-23,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.87,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6481/2021|EPI_ISL_11229749|2021-03-19,B.1.1.7,0.5,,,,,Usher placements: B.1.1(1/2) B.1.1.7(1/2),4.1.3,v1.16
hCoV-19/Austria/CeMM6480/2021|EPI_ISL_11229748|2021-02-23,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6313/2021|EPI_ISL_11229774|2021-03-14,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6302/2021|EPI_ISL_11229773|2021-03-14,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(5/5),4.1.3,v1.16
hCoV-19/Austria/CeMM6314/2021|EPI_ISL_11229775|2021-03-14,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(4/4),4.1.3,v1.16
hCoV-19/Austria/CeMM6326/2021|EPI_ISL_11229777|2021-03-14,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6266/2021|EPI_ISL_11229772|2021-03-14,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(5/5),4.1.3,v1.16
hCoV-19/Austria/CeMM6901/2021|EPI_ISL_11229786|2021-03-28,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6854/2021|EPI_ISL_11229781|2021-03-28,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
hCoV-19/Austria/CeMM6853/2021|EPI_ISL_11229780|2021-03-28,B.1.1.7,0.0,,Alpha (B.1.1.7-like),0.96,0.04,Usher placements: B.1.1.7(1/1),4.1.3,v1.16
